review,sentiment,emotion,clean_review,sentiment_label,emotion_label
"bahan nyan lembut dan empuk enak dan tidur jadi lebih enak gak pegel pegel lagi pas bangun tidur bye bye salah bantal,Material bagus dan halus. Ukuran sesuai. Bagus Banget!. Harga terjangkau.",Positive,Love,bahan nyan lembut dan empuk enak dan tidur jadi lebih enak gak pegel pegel lagi pas bangun tidur bye bye salah bantal material bagus dan halus ukuran sesuai bagus banget harga terjangkau,1,3
hasilnya bagus dan sangat memuaskan terimakasih Tokopedia.??????,Positive,Happy,hasilnya bagus dan sangat memuaskan terimakasih tokopedia,1,2
ternyata barangnya kw kirain beneran promo,Negative,Fear,ternyata barangnya kw kirain beneran promo,0,1
Barang Tidak sama antara yg di foto dengan yaang dikirim. Tolong yg jujur jika berusaha meskipun nilai uang nya kecil,Negative,Fear,barang tidak sama antara yg di foto dengan yaang dikirim tolong yg jujur jika berusaha meskipun nilai uang nya kecil,0,1
Barang jelek sesuai harga,Negative,Sadness,barang jelek sesuai harga,0,4
kondisi drum pad nggak rapih masih banyak lem belepotan,Negative,Fear,kondisi drum pad nggak rapih masih banyak lem belepotan,0,1
"baunya sedikit sevenarnya segar, tapi lebih kuat dibanding disinfektan lainnya. Jadi lebih awet tapi ga kuat di hidung",Positive,Happy,baunya sedikit sevenarnya segar tapi lebih kuat dibanding disinfektan lainnya jadi lebih awet tapi ga kuat di hidung,1,2
"Barang sesuai pesanan, diantar sesuai waktu yg dijanjikan, recommended seller!",Positive,Happy,barang sesuai pesanan diantar sesuai waktu yg dijanjikan recommended seller,1,2
"harga murah , lucu, cepat kirim ... sukses ya",Positive,Happy,harga murah lucu cepat kirim sukses ya,1,2
"Belanja harus hati2, Tidak Jelas. Sangat Kecewa untuk belanja kali ini.",Negative,Fear,belanja harus hati tidak jelas sangat kecewa untuk belanja kali ini,0,1
"sesuai pesanan, cuma tempat kartu kurang lebar",Positive,Happy,sesuai pesanan cuma tempat kartu kurang lebar,1,2
"Respon cepat,produk sampai dengan cepat,,",Positive,Happy,respon cepat produk sampai dengan cepat,1,2
Suka sama box nya ciamik dehhhhhhhhhhhhhhhhhhhhh,Positive,Love,suka sama box nya ciamik dehhhhhhhhhhhhhhhhhhhhh,1,3
jauh dari expektasi bahannya kucel,Negative,Fear,jauh dari expektasi bahannya kucel,0,1
"Respon cepat, barang original terbaik recomended packing baik. Sukses selalu ya",Positive,Love,respon cepat barang original terbaik recomended packing baik sukses selalu ya,1,3
pengiriman cepat buku dalam kondisi baik,Positive,Happy,pengiriman cepat buku dalam kondisi baik,1,2
boros batre,Negative,Sadness,boros batre,0,4
cepet banget rusaknya baru sebulan pake gak bisa nyala ._.,Negative,Sadness,cepet banget rusaknya baru sebulan pake gak bisa nyala,0,4
"Alhamdulillah cepat sekali pengirimannya. Seller ramah, packing rapi, produk kondisi sangat baik. Tebalnya pas dan bahannya ok, sesuai perkiraan????Terima kasih",Positive,Happy,alhamdulillah cepat sekali pengirimannya seller ramah packing rapi produk kondisi sangat baik tebalnya pas dan bahannya ok sesuai perkiraan terima kasih,1,2
Barang sesuai pesanan. Namun utk saya pilih XL agak kegedean. Mungkin lebih tepatnya L.,Positive,Happy,barang sesuai pesanan namun utk saya pilih xl agak kegedean mungkin lebih tepatnya l,1,2
mksh paket dah sampai dengan cepat bahannya bagus saya suka??,Positive,Love,mksh paket dah sampai dengan cepat bahannya bagus saya suka,1,3
Brang bagus. Kbel bisa cuma kalo di pake panas di pegangan lampunnya,Positive,Happy,brang bagus kbel bisa cuma kalo di pake panas di pegangan lampunnya,1,2
Alhamdulillah bagus Material Produk Bagus. Produk Sesuai. Produk Berfungsi Dengan Baik.,Positive,Happy,alhamdulillah bagus material produk bagus produk sesuai produk berfungsi dengan baik,1,2
"Barang sesuai deskripsi. Pegangan kokoh dan stabil. Packaging aman dan bagus. orderan ke 4 selalu puas, seller gercep, hari minggu dikirim, kurir cepat, next order lagi..",Positive,Love,barang sesuai deskripsi pegangan kokoh dan stabil packaging aman dan bagus orderan ke selalu puas seller gercep hari minggu dikirim kurir cepat next order lagi,1,3
barang tidak sesuai dgn pesanan.. pesanan IMO z7 yg di kirim merk Huangmi... ??,Negative,Sadness,barang tidak sesuai dgn pesanan pesanan imo z yg di kirim merk huangmi,0,4
"baunya gak enak, ini siapa yang rancang? suruh belajar coba parfum2 yg enak",Negative,Anger,baunya gak enak ini siapa yang rancang suruh belajar coba parfum yg enak,0,0
Hazecool AC Cleaner - Pembersih AC SPLIT & AC MOBIL,Negative,Sadness,hazecool ac cleaner pembersih ac split ac mobil,0,4
"nipu,ini mah bukan 90 yard wkwkwk kaco",Negative,Anger,nipu ini mah bukan yard wkwkwk kaco,0,0
Tidak menerawang. Nyaman dipakai. Bahannya adem. Jahitan rapi.,Positive,Happy,tidak menerawang nyaman dipakai bahannya adem jahitan rapi,1,2
"Barang sesuai deskripsi, recommended high quality product. Seller: packaging ok",Positive,Love,barang sesuai deskripsi recommended high quality product seller packaging ok,1,3
"barang sesuai keinginan, thx toko pedia.",Positive,Happy,barang sesuai keinginan thx toko pedia,1,2
"Barang sesuai deskripsi dan tersegel original, pengiriman tepat waktu sesuai janji layanan, mantap Terima kasih banyak",Positive,Happy,barang sesuai deskripsi dan tersegel original pengiriman tepat waktu sesuai janji layanan mantap terima kasih banyak,1,2
"Barang pertama yang pertama pesan sama2 leging dengan kode item yang sama. Tapi kedua kalinya saya pesan barang berbeda, bahan berbeda. Kecewa sekali",Negative,Sadness,barang pertama yang pertama pesan sama leging dengan kode item yang sama tapi kedua kalinya saya pesan barang berbeda bahan berbeda kecewa sekali,0,4
"Mengenai barang sdh sesuai...., respon sangat lambat. Saya minta dikirim pake sameday (6 jam). Barang baru diantar dan keterima di hari ke 3 (cat : transaksi sebelum jam 11 siang). Packing  barang saat pengiriman sangat seadanya. TIdak rekomendasi deh klw buat yang barang pengen buru-buru diterima/dipakai.",Negative,Fear,mengenai barang sdh sesuai respon sangat lambat saya minta dikirim pake sameday jam barang baru diantar dan keterima di hari ke cat transaksi sebelum jam siang packing barang saat pengiriman sangat seadanya tidak rekomendasi deh klw buat yang barang pengen buru buru diterima dipakai,0,1
Tepat waktu dan sesuai pesanan,Positive,Happy,tepat waktu dan sesuai pesanan,1,2
rasanya agak asem mungkin terlalu banyak tomat,Negative,Fear,rasanya agak asem mungkin terlalu banyak tomat,0,1
barang cepat sampai dlm keadaan baik,Positive,Happy,barang cepat sampai dlm keadaan baik,1,2
Bahannya adem. Enak dipakai ?. Modelnya kekinian ??. Jahitannya rapi. Bahan menyerap keringat. Tidak menerawang.,Positive,Happy,bahannya adem enak dipakai modelnya kekinian jahitannya rapi bahan menyerap keringat tidak menerawang,1,2
Cetakan buku nya tdk bagus.,Negative,Sadness,cetakan buku nya tdk bagus,0,4
"Ga jelas ga ada instruksinya, rakitnya ginana... sepertinya juga barangnya beda sama yg saya pesan.",Negative,Anger,ga jelas ga ada instruksinya rakitnya ginana sepertinya juga barangnya beda sama yg saya pesan,0,0
"masyaallah bagus payung nya.. untuk pertama kali gunain Tokopedia langsung beli payung ditoko ini.. tidak mengecewakan pokok nya, barang nya masyaallah bagus..????",Positive,Happy,masyaallah bagus payung nya untuk pertama kali gunain tokopedia langsung beli payung ditoko ini tidak mengecewakan pokok nya barang nya masyaallah bagus,1,2
"First time beli, gak pake ragu,... pokoknya worth it banget,",Positive,Love,first time beli gak pake ragu pokoknya worth it banget,1,3
2x pembelian awal ga ada masalah dan puas. tapi pembelian terakhir ini mengecewakan. ntah mau irit packaging atau karena alasan apa untuk pembelian rasa tiramisu sudah tidak berkardus. mungkin udah mulai dijual ketengan.,Negative,Sadness,x pembelian awal ga ada masalah dan puas tapi pembelian terakhir ini mengecewakan ntah mau irit packaging atau karena alasan apa untuk pembelian rasa tiramisu sudah tidak berkardus mungkin udah mulai dijual ketengan,0,4
"Mengecewakan,produk encer jadi harus mengecat berkali2 hingga 4x,memang harga menentukan kwalitas..!!",Negative,Sadness,mengecewakan produk encer jadi harus mengecat berkali hingga x memang harga menentukan kwalitas,0,4
bagi yang mau beli game pass bagus nih di toko ini. di layani sampai selesai . makasih ngab,Positive,Happy,bagi yang mau beli game pass bagus nih di toko ini di layani sampai selesai makasih ngab,1,2
"Mienya enak Favorit keluarga. Sudah langganan beli mie sedap di toko OS , packing rapi dan dpt bonus. makasih ya????",Positive,Love,mienya enak favorit keluarga sudah langganan beli mie sedap di toko os packing rapi dan dpt bonus makasih ya,1,3
alhamdulillah seperti biasa repeat order di sini free ongkir rasa enak harga murah dan pastinya gurih mantap krupuknya,Positive,Love,alhamdulillah seperti biasa repeat order di sini free ongkir rasa enak harga murah dan pastinya gurih mantap krupuknya,1,3
Awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx,Positive,Happy,awalnya saya kira belum dibuka untuk diisi freemcboot tyt sudah dibuka tinggal tes di mesin thx,1,2
"Barang dalam kondisi prima, nyampenya juga cepet cuma sehari. Terima kasih, seller!",Positive,Happy,barang dalam kondisi prima nyampenya juga cepet cuma sehari terima kasih seller,1,2
Barang sesuai pesanan dan telah diterima dengan baik. Terima kasih.,Positive,Happy,barang sesuai pesanan dan telah diterima dengan baik terima kasih,1,2
KIRIM PAKET GA NGOTAK.. RESOLUSI ARBITER TOKOPEDIA USELESS.. ??,Negative,Anger,kirim paket ga ngotak resolusi arbiter tokopedia useless,0,0
Puas banget kaos kakinya bagus,Positive,Happy,puas banget kaos kakinya bagus,1,2
"mantap,. sesuai,. normal bisa digunakan. semoga awet,. batrainya CR2032 langsung include",Positive,Love,mantap sesuai normal bisa digunakan semoga awet batrainya cr langsung include,1,3
"pesan dari tanggal 5. ini udah tanggal 8 barang belum NONGOL!!! Gila parah banget. toko laen, saya pesan obat tgl 6, hari ini tgl 8 dah nyampe. ckckckck lama bangeeeettt dan super slow respon duuhhhh. kucing jalanan yg udah pesakitan modelannya bisa2 + drop gara2 manusia2 modelan lemot gini kerjanya",Negative,Anger,pesan dari tanggal ini udah tanggal barang belum nongol gila parah banget toko laen saya pesan obat tgl hari ini tgl dah nyampe ckckckck lama bangeeeettt dan super slow respon duuhhhh kucing jalanan yg udah pesakitan modelannya bisa drop gara manusia modelan lemot gini kerjanya,0,0
"Respon cepet, ramah, solutif, kerjaan cepet banget, harga kompetitif Kerenn recommended seller",Positive,Love,respon cepet ramah solutif kerjaan cepet banget harga kompetitif kerenn recommended seller,1,3
"parah kecil banget. padahal ukurannya L dan XL. ini mah buat anak SD kaga bisa buat orang dewasa, sekalipun dengan Negativean kecil.",Negative,Anger,parah kecil banget padahal ukurannya l dan xl ini mah buat anak sd kaga bisa buat orang dewasa sekalipun dengan negativean kecil,0,0
bagus bgt seller baikbgt minta tolong kirim hari ini karena buru2 buat kado lgsg dikirim dan hasil cetak fotonya jg bagusbgt????,Positive,Happy,bagus bgt seller baikbgt minta tolong kirim hari ini karena buru buat kado lgsg dikirim dan hasil cetak fotonya jg bagusbgt,1,2
Dijualnya barang yg udah mau expired.. Pantesan aja koq murah..,Negative,Fear,dijualnya barang yg udah mau expired pantesan aja koq murah,0,1
saya kira dapet lengkap kurang ternyata apa solusinya?,Negative,Fear,saya kira dapet lengkap kurang ternyata apa solusinya,0,1
Efektif membunuh hama. Barang sesuai deskripsi. Packaging aman dan bagus.,Positive,Happy,efektif membunuh hama barang sesuai deskripsi packaging aman dan bagus,1,2
barang dikirim tidak sesuai jumlah pesanan,Negative,Sadness,barang dikirim tidak sesuai jumlah pesanan,0,4
sangat mengecewakan barang dikirim tidak sesuai dengan deskripsi permintaan pembeli,Negative,Sadness,sangat mengecewakan barang dikirim tidak sesuai dengan deskripsi permintaan pembeli,0,4
"Beli 3 pcs, 2 pcs tidak berfungsi, barang disegel service dan pernah bongkaran, komplain dipusat resolusi tidak dtanggapi...",Negative,Sadness,beli pcs pcs tidak berfungsi barang disegel service dan pernah bongkaran komplain dipusat resolusi tidak dtanggapi,0,4
Suaranya gk bs bersih. Ada noise. Hasilnya lebih bagus ngerekam pakai headset iphone drpd pakai ini.,Negative,Sadness,suaranya gk bs bersih ada noise hasilnya lebih bagus ngerekam pakai headset iphone drpd pakai ini,0,4
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Positive,Happy,produk asli original suplemen bagus tanpa efek samping semoga segera berproses utk menambah pigmen rambut tks,1,2
"yg bener dong gan klo ngasih barang. expirenya kapan, masak sebulan gak kuat sampai ada yg bulukan gitu",Negative,Anger,yg bener dong gan klo ngasih barang expirenya kapan masak sebulan gak kuat sampai ada yg bulukan gitu,0,0
Gak sesuai gambar disitu gulanya yg hijau kenapa dikirimnya yang kuning sih beda mereka harganya rasanya juga beda lbh enak yg hijau kenapa begini tokped jd pengguna baru malah nyesel,Negative,Fear,gak sesuai gambar disitu gulanya yg hijau kenapa dikirimnya yang kuning sih beda mereka harganya rasanya juga beda lbh enak yg hijau kenapa begini tokped jd pengguna baru malah nyesel,0,1
"dateng2 udah robek bungkusnya & kertas kotor. udah wanti2 ke penjualnya pdhal biar ga kayak gini eh tetep aja begini, bingung??",Negative,Fear,dateng udah robek bungkusnya kertas kotor udah wanti ke penjualnya pdhal biar ga kayak gini eh tetep aja begini bingung,0,1
Desainnya mewah. Warnanya cantik ??. Ukuran sesuai. Nyaman dipakai ?. Produk sesuai dengan foto. Produk original. Packaging aman.,Positive,Love,desainnya mewah warnanya cantik ukuran sesuai nyaman dipakai produk sesuai dengan foto produk original packaging aman,1,3
"kabel jack nya sangat tidak bagus. saya colok ke mic nya tidak terbaca, saya coba colok ke speaker harus di teken biar nyala suara. untuk mic nya bagus tapi saya harus pake jack yang lain.",Negative,Sadness,kabel jack nya sangat tidak bagus saya colok ke mic nya tidak terbaca saya coba colok ke speaker harus di teken biar nyala suara untuk mic nya bagus tapi saya harus pake jack yang lain,0,4
pesan model love yg dtang mickey.anak we jdi ngamuk.di cat ktanya ready yg love.klo ga ada bilang,Negative,Anger,pesan model love yg dtang mickey anak we jdi ngamuk di cat ktanya ready yg love klo ga ada bilang,0,0
Produk yang diterima lengkap. Pas di kepala. Lampunya terang. Mantap pokoknya rekomendasi ??,Positive,Love,produk yang diterima lengkap pas di kepala lampunya terang mantap pokoknya rekomendasi,1,3
Mantaaappp�.????????????????????????????????????,Positive,Love,mantaaappp,1,3
"bad admin. Opportunity lost gara2 mau tambah pesanan tp diabaikan admin, harusnya jd perhatian untuk manajemen wingsfood.",Negative,Fear,bad admin opportunity lost gara mau tambah pesanan tp diabaikan admin harusnya jd perhatian untuk manajemen wingsfood,0,1
"beli 2 jerigen kemasan 5 liter, 1 jerigen ada yg kurang isinya",Negative,Fear,beli jerigen kemasan liter jerigen ada yg kurang isinya,0,1
Barang yang dikirim tidak sesuai dengan barang yang diterima,Negative,Sadness,barang yang dikirim tidak sesuai dengan barang yang diterima,0,4
Barang nya kotor banyak bintik hitam dan bintik putih mungkin jamuran.,Negative,Fear,barang nya kotor banyak bintik hitam dan bintik putih mungkin jamuran,0,1
Polanya kurang pas. Negativean pas tapi lengan terlalu kecil.,Negative,Sadness,polanya kurang pas negativean pas tapi lengan terlalu kecil,0,4
Qualitas jelek sekali. Bau seperti cat. Pad ya bergelombang,Negative,Fear,qualitas jelek sekali bau seperti cat pad ya bergelombang,0,1
Barangnya original ??. Ada garansi resmi. Kemasan disegel. Spesifikasi sesuai . Barangnya mulus. Kelengkapan sesuai. Warna sesuai pesanan. Berfungsi dengan baik. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman ??. Packaging rapi.,Positive,Happy,barangnya original ada garansi resmi kemasan disegel spesifikasi sesuai barangnya mulus kelengkapan sesuai warna sesuai pesanan berfungsi dengan baik penjualnya ramah banget proses pesanan cepat packaging aman packaging rapi,1,2
"Packingnya cukup oke, ada segelnya jadi aman. Kelengkapan 6 elemennya juga ada",Positive,Happy,packingnya cukup oke ada segelnya jadi aman kelengkapan elemennya juga ada,1,2
"bisa hidup, tapi ga bisa ngecharge, di biarkan seharian batetai tidak terisi, berharap banyak sama alat ini, supaya stick nya anak anak bisa terpakai 2-2 nya",Negative,Sadness,bisa hidup tapi ga bisa ngecharge di biarkan seharian batetai tidak terisi berharap banyak sama alat ini supaya stick nya anak anak bisa terpakai nya,0,4
"Produk mantap, sesuai deskripsi dan foto, seller garcep, tokopedia terbaik ????Mampir-mampir ke lapak kita juga ya gaes untuk produk BAGUS dengan harga SPESIAL lainnya ??",Positive,Happy,produk mantap sesuai deskripsi dan foto seller garcep tokopedia terbaik mampir mampir ke lapak kita juga ya gaes untuk produk bagus dengan harga spesial lainnya,1,2
Sy pesan 1 shampoo dan 2 body wash. Yg sy terima hanya 2 body wash. Shampoo tdk sy terima. Salah sy tdk membuat video unboxing (karena percaya sj dgn seller official). Win win solution sy berikan bintang 1. Terima ksh,Negative,Fear,sy pesan shampoo dan body wash yg sy terima hanya body wash shampoo tdk sy terima salah sy tdk membuat video unboxing karena percaya sj dgn seller official win win solution sy berikan bintang terima ksh,0,1
bagus banget..top,Positive,Love,bagus banget top,1,3
"Klamaan di pengiriman. Pesen urgent pagi2 pke ojek online biar lngsng smpe, malah dikirim pke tiki ??????? bsk nya br smpe.",Negative,Sadness,klamaan di pengiriman pesen urgent pagi pke ojek online biar lngsng smpe malah dikirim pke tiki bsk nya br smpe,0,4
"katanya bisa ditempel ditembok, tapi tempelannya kotor banget, udh dicuci jg tetep Kotor, jadi gak melekat sama sekali. sangat disayangkan Karna harga nya lumayan mahal utk yg kualitas yg seperti ini.",Negative,Anger,katanya bisa ditempel ditembok tapi tempelannya kotor banget udh dicuci jg tetep kotor jadi gak melekat sama sekali sangat disayangkan karna harga nya lumayan mahal utk yg kualitas yg seperti ini,0,0
"Terlalu tipis sekali untuk harga segitu. Seperti sehelai kain jilbab segi empat, tdk sesuai ekspektasi",Negative,Sadness,terlalu tipis sekali untuk harga segitu seperti sehelai kain jilbab segi empat tdk sesuai ekspektasi,0,4
"Satu dr 2 humidifier diffuser yg sy beli, saat saya mulai pasang hari ini di kantor, setelah bbrp saat mengeluarkan bunyi yg luarbiasa brisik. Waduh sy shock dan kecewa bngt, while 1 produk lainnya (type sama) works well. Butuh kebesaran hati penjual utk menukar item yg tdk sesuai spec ini.",Negative,Sadness,satu dr humidifier diffuser yg sy beli saat saya mulai pasang hari ini di kantor setelah bbrp saat mengeluarkan bunyi yg luarbiasa brisik waduh sy shock dan kecewa bngt while produk lainnya type sama works well butuh kebesaran hati penjual utk menukar item yg tdk sesuai spec ini,0,4
"produknya ok sangat bermanfaat utk mrnjaga dan merawat kebersihan anabul, sudah langganan beli .. terimakasih seller",Positive,Happy,produknya ok sangat bermanfaat utk mrnjaga dan merawat kebersihan anabul sudah langganan beli terimakasih seller,1,2
kecewa tdk spt yg diharapkan basah semua keluar airnya meskipun udah diputer mulai dr yg plg kecil maupun yg besarrr,Negative,Sadness,kecewa tdk spt yg diharapkan basah semua keluar airnya meskipun udah diputer mulai dr yg plg kecil maupun yg besarrr,0,4
kecewa sama tokonya,Negative,Sadness,kecewa sama tokonya,0,4
Material Produk Bagus. Ukuran Produk Sesuai. Produk Sesuai. Kualitas Produk Bagus.,Positive,Happy,material produk bagus ukuran produk sesuai produk sesuai kualitas produk bagus,1,2
Penjual tidak komunikatif...,Negative,Fear,penjual tidak komunikatif,0,1
Ada pilihan mix warna yg dikirim warna biru padahal utk anak perempuan..kecewa..gk mau beli lagi dsini,Negative,Fear,ada pilihan mix warna yg dikirim warna biru padahal utk anak perempuan kecewa gk mau beli lagi dsini,0,1
"Awalnya seneng karena barang cepat sampai dan bagus, ternyata belum sampai sebulan sudah rusak ga bisa dipake lg ??",Negative,Sadness,awalnya seneng karena barang cepat sampai dan bagus ternyata belum sampai sebulan sudah rusak ga bisa dipake lg,0,4
Barang sesuai pesanan dan dikirim cepat,Positive,Happy,barang sesuai pesanan dan dikirim cepat,1,2
Respon penjual sangat jelek ditanyain hari ni besok baru balas,Negative,Anger,respon penjual sangat jelek ditanyain hari ni besok baru balas,0,0
packing sama sekali gak ada dus+bubble...,Negative,Fear,packing sama sekali gak ada dus bubble,0,1
"Respon cepat , kemasan rapi , harga murah barang istimewa",Positive,Happy,respon cepat kemasan rapi harga murah barang istimewa,1,2
barang ternyata palsu,Negative,Fear,barang ternyata palsu,0,1
"jahitannya banyak yg ga rapi, kain agak nerawang",Negative,Sadness,jahitannya banyak yg ga rapi kain agak nerawang,0,4
Bahannya adem Warnanya cantik ?? Tebalnya pas! Jahitan rapi,Positive,Happy,bahannya adem warnanya cantik tebalnya pas jahitan rapi,1,2
"Jujur kecewa, 1. Pengiriman sangat terlambat. 2. Lampu LED kualitasnya sangat buruk, pakai kurang lebih 15 menit langsung mati, tak terpakai lagi. 3. Akrilik hitam seperti yang dijanjikan tidak ada. 4. Ada harga ada rupa.5. It's a Negative Negative deal afterall.",Negative,Fear,jujur kecewa pengiriman sangat terlambat lampu led kualitasnya sangat buruk pakai kurang lebih menit langsung mati tak terpakai lagi akrilik hitam seperti yang dijanjikan tidak ada ada harga ada rupa it s a negative negative deal afterall,0,1
Sering goyang katanya sih bahan nya dari aluminium ternyata plastik kecewa saya beli tripod ini,Negative,Sadness,sering goyang katanya sih bahan nya dari aluminium ternyata plastik kecewa saya beli tripod ini,0,4
"kualitas barang dibanding harga nya hanya so so lahh....pelayanan minus -100 sbgmn layaknya kesombongan seorang raja, apalagi pengiriman barang, seenak jidat macam tidak ada lagi produsen consumer goods lain di tata surya ini!!! no wonder nilai / valuasi perusahaan anda sudah turun lebih dari 50% dalam 1 tahun terakhir ini. semoga makin jeblok dan gulung tikar kmdn pulang kampung. SEMOGA!!!",Negative,Anger,kualitas barang dibanding harga nya hanya so so lahh pelayanan minus sbgmn layaknya kesombongan seorang raja apalagi pengiriman barang seenak jidat macam tidak ada lagi produsen consumer goods lain di tata surya ini no wonder nilai valuasi perusahaan anda sudah turun lebih dari dalam tahun terakhir ini semoga makin jeblok dan gulung tikar kmdn pulang kampung semoga,0,0
Gak bisa dipake bunyi kemeresek,Negative,Fear,gak bisa dipake bunyi kemeresek,0,1
jangan lupa gaes diorder toko ini,Positive,Love,jangan lupa gaes diorder toko ini,1,3
Tulisannya kayak kopian atau cetakan ulang,Negative,Fear,tulisannya kayak kopian atau cetakan ulang,0,1
speaker dan mic nya ga bunyi,Negative,Fear,speaker dan mic nya ga bunyi,0,1
"Barangnya saya terima dalam keadaan pecah di bagian sudut, padahal posisi itu dilapis gabus pelindungnya loh.. Jadi saya berasumsi kalau barangnya memang sudah pecah dari sebelum dikirim, bukan saat ekspedisi. Sayang lupa videokan saat unboxing.",Negative,Sadness,barangnya saya terima dalam keadaan pecah di bagian sudut padahal posisi itu dilapis gabus pelindungnya loh jadi saya berasumsi kalau barangnya memang sudah pecah dari sebelum dikirim bukan saat ekspedisi sayang lupa videokan saat unboxing,0,4
"klo produk udh pasti bgs krn original. pengiriman nya jg bgs, hari ini order bsk bisa lgs nyampe. tks",Positive,Happy,klo produk udh pasti bgs krn original pengiriman nya jg bgs hari ini order bsk bisa lgs nyampe tks,1,2
"sial.. gak ada wangi wangi nya sama sekali, gak ada sama sekali biji kopinya, GAK SESUAI JUDUL 100% BIJI KOPI. kecewa banget pantesan murah kita cuma dikasih sampah. penipu..",Negative,Anger,sial gak ada wangi wangi nya sama sekali gak ada sama sekali biji kopinya gak sesuai judul biji kopi kecewa banget pantesan murah kita cuma dikasih sampah penipu,0,0
"Wanginya ga sesuai harapan, kaya bau ikan teri",Negative,Anger,wanginya ga sesuai harapan kaya bau ikan teri,0,0
Baru pakai sekali langsung koyak... bahan tipis... pengiriman lama.. chat ga pernah di bls.. ga recommended...,Negative,Fear,baru pakai sekali langsung koyak bahan tipis pengiriman lama chat ga pernah di bls ga recommended,0,1
Respons penjual Lemot seperti ogah2an melayani. bahan kaos mudah melar apalagi pakai mesin cuci.,Negative,Sadness,respons penjual lemot seperti ogah an melayani bahan kaos mudah melar apalagi pakai mesin cuci,0,4
Order yg k2 ko sy sangat kecewa...bungkus sudah pecah kopi berhamburan k mna� Gak tau ini kesalahan dr selese seler atau kurir.,Negative,Sadness,order yg k ko sy sangat kecewa bungkus sudah pecah kopi berhamburan k mna gak tau ini kesalahan dr selese seler atau kurir,0,4
Model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,Positive,Happy,model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,1,2
bagus.. sesuai deskripsi,Positive,Happy,bagus sesuai deskripsi,1,2
Respon penjualnya top. Proses pesanan cepat. Packaging rapi. Packaging aman ??. Penjualnya ramah banget.,Positive,Happy,respon penjualnya top proses pesanan cepat packaging rapi packaging aman penjualnya ramah banget,1,2
"kurma matang sempurna,mantap pokoknya. pas buat anak kecil atau pun orang tua sukses dan smoga berkah gan aamiinn",Positive,Happy,kurma matang sempurna mantap pokoknya pas buat anak kecil atau pun orang tua sukses dan smoga berkah gan aamiinn,1,2
