review,sentiment,emotion,clean_review,sentiment_label,emotion_label
barang aman dan sesuai pesanan,Positive,Happy,barang aman dan sesuai pesanan,1,2
ini kok belum di ulas sih kan saya mintanya tumbuk halus bener2 parah...... !!,Negative,Anger,ini kok belum di ulas sih kan saya mintanya tumbuk halus bener parah,0,0
mantap banget barangnya sesuai deskripsi.harga juga murah. pengemasan aman bgt.pake dus sama wrap. next time order lagi. sukses terus lapaknya gan.,Positive,Love,mantap banget barangnya sesuai deskripsi harga juga murah pengemasan aman bgt pake dus sama wrap next time order lagi sukses terus lapaknya gan,1,3
"baunya pasaran, prtama kali pakai semua orang sekitar gue sakit kepala.. jangan trlalu expektasi tinggi... rugi kalian harga segitu..",Negative,Fear,baunya pasaran prtama kali pakai semua orang sekitar gue sakit kepala jangan trlalu expektasi tinggi rugi kalian harga segitu,0,1
"Bagus, cepat, packaging aman ??",Positive,Happy,bagus cepat packaging aman,1,2
Menggunakan bahan alami. Melembabkan kulit bayi. Tanpa bahan pengawet. Aman buat kulit bayi. Nggak lengket. Nggak memicu alergi. Proses pesanan cepat. Penjualnya ramah banget. Respon penjualnya top. Packaging aman ??. Packaging rapi.,Positive,Happy,menggunakan bahan alami melembabkan kulit bayi tanpa bahan pengawet aman buat kulit bayi nggak lengket nggak memicu alergi proses pesanan cepat penjualnya ramah banget respon penjualnya top packaging aman packaging rapi,1,2
"pengiriman sangat lama, diluar estimasi yg tercantum",Negative,Fear,pengiriman sangat lama diluar estimasi yg tercantum,0,1
pengiriman cepat dan packing juga rapi,Positive,Happy,pengiriman cepat dan packing juga rapi,1,2
"beli banyak macam barang, tapi produk ini tidak dikirimkan",Negative,Fear,beli banyak macam barang tapi produk ini tidak dikirimkan,0,1
Pesanan sdh diterima dlm keadaan baik dan cpt sampainya. Dpt bonus stik.Terima kasih seller dan kurir,Positive,Happy,pesanan sdh diterima dlm keadaan baik dan cpt sampainya dpt bonus stik terima kasih seller dan kurir,1,2
Orangnya ramah. Voucher dikirim via email. Gak lama transfer langsung dikirim. Mantap gan. Makasih ya .. Bakal jadi langganan nih.,Positive,Love,orangnya ramah voucher dikirim via email gak lama transfer langsung dikirim mantap gan makasih ya bakal jadi langganan nih,1,3
"roll diambil 1/4. Nampak dari potongan sudah mencong mencong. Jualan yang benar, jangan hanya ingin untungnya saja",Negative,Anger,roll diambil nampak dari potongan sudah mencong mencong jualan yang benar jangan hanya ingin untungnya saja,0,0
"beli 2 ga ada yg enak, jauh banget sama kota hoedjan",Negative,Anger,beli ga ada yg enak jauh banget sama kota hoedjan,0,0
"penjual sangat tidak responsif, pengiriman sangat lama, pengen di cancel awalnya namun karena sudah sangat menginginkannya jadi ya sudahlah.",Negative,Fear,penjual sangat tidak responsif pengiriman sangat lama pengen di cancel awalnya namun karena sudah sangat menginginkannya jadi ya sudahlah,0,1
"Fast respond, sellernya ramah packing rapi pengiriman cepat... Recommended",Positive,Love,fast respond sellernya ramah packing rapi pengiriman cepat recommended,1,3
"- Bocor dari sambungan karet ke keran - dan Bocor dri tengah2 tempat drat karna gk rapat, mau di rapatkan gk bisa karna terasa sudah mentok",Negative,Sadness,bocor dari sambungan karet ke keran dan bocor dri tengah tempat drat karna gk rapat mau di rapatkan gk bisa karna terasa sudah mentok,0,4
Barang sesuai deskripsi dan berfungsi dengan baik. cuma tidak puas dg pelayanan dari penjual. pesanan diproses H+2 dan di pick up H+4 itu pun sesudah dikomplen baru bergerak,Negative,Fear,barang sesuai deskripsi dan berfungsi dengan baik cuma tidak puas dg pelayanan dari penjual pesanan diproses h dan di pick up h itu pun sesudah dikomplen baru bergerak,0,1
"spidol kualitas bagus, harga termurah dibanding toko lain",Positive,Happy,spidol kualitas bagus harga termurah dibanding toko lain,1,2
Suaranya gk bs bersih. Ada noise. Hasilnya lebih bagus ngerekam pakai headset iphone drpd pakai ini.,Negative,Sadness,suaranya gk bs bersih ada noise hasilnya lebih bagus ngerekam pakai headset iphone drpd pakai ini,0,4
repurchase ke 3 sangat puas dengan barang dan respon seller nya udah gitu selalu dapat bonus terima kasih,Positive,Happy,repurchase ke sangat puas dengan barang dan respon seller nya udah gitu selalu dapat bonus terima kasih,1,2
"plastik, yah ada harga ada kualitas",Negative,Sadness,plastik yah ada harga ada kualitas,0,4
BOHONG gak dapat Hadiah kapok beli d sini ??????????????,Negative,Anger,bohong gak dapat hadiah kapok beli d sini,0,0
packing berantakan ada yg bocir tumpah semua,Negative,Anger,packing berantakan ada yg bocir tumpah semua,0,0
"barang bagus, sesuai pesana� pengiriman cepat Positive job",Positive,Happy,barang bagus sesuai pesana pengiriman cepat positive job,1,2
"BARANG MULUS, PACKINGAN OK, KELENGKAPAN BARANG JUGA OK, TINGGAL KENDALA DI TV SENDIRI WKWKWK, UNTUK MASALAH PS2NYA REKOMENDASI LAH BAGI YG MAU BELI PS2 DISINI. :)",Positive,Love,barang mulus packingan ok kelengkapan barang juga ok tinggal kendala di tv sendiri wkwkwk untuk masalah ps nya rekomendasi lah bagi yg mau beli ps disini,1,3
"barang bagus, sesuai harga. Pengiriman cepat, pesen malem pas paginya sampe",Positive,Happy,barang bagus sesuai harga pengiriman cepat pesen malem pas paginya sampe,1,2
bagian tombol ada kempot parah. pabrikan tidak jaga mutu,Negative,Fear,bagian tombol ada kempot parah pabrikan tidak jaga mutu,0,1
sebentar pakai sudah patah. aku pikir besi ternyata plastik,Negative,Sadness,sebentar pakai sudah patah aku pikir besi ternyata plastik,0,4
"SELLER TDK BERTANGGUNG JWB. Kindlenya baru dibeli terus rusak. Pembelian 23 okt, 26 okt kindle nya rusak. Katanya ad garansi 7 hari, bgtu di message & whatsapp cuma di READ. Ga bertanggung jawab banget. Hati2 ya kalau mau beli disini after sale service nya sgt tidak bagus. Gabisa dipake deh kindle nya sayang banget, padahal uda capek2 nabung. Smoga dpt karma nya sndri deh :)",Negative,Anger,seller tdk bertanggung jwb kindlenya baru dibeli terus rusak pembelian okt okt kindle nya rusak katanya ad garansi hari bgtu di message whatsapp cuma di read ga bertanggung jawab banget hati ya kalau mau beli disini after sale service nya sgt tidak bagus gabisa dipake deh kindle nya sayang banget padahal uda capek nabung smoga dpt karma nya sndri deh,0,0
beli 2 baru 2 hari pake stik yg 1nya malah eror suka mencet sendiri kecewa dah,Negative,Sadness,beli baru hari pake stik yg nya malah eror suka mencet sendiri kecewa dah,0,4
"Awalnya Saya Tanya 9 Warna, semua ready, setelah bayar ( 27 jam kemudian ) Baru dibilang beberapa ( 4 Warna ) habis. Jgn kayak gitulah, jadinya Sy harus Cari lagi warnanya",Negative,Sadness,awalnya saya tanya warna semua ready setelah bayar jam kemudian baru dibilang beberapa warna habis jgn kayak gitulah jadinya sy harus cari lagi warnanya,0,4
"kado.harga paling murah pada saat beli , trims, semoga bisa langganan. dan harganya bisa terbaik terus se tokped",Positive,Love,kado harga paling murah pada saat beli trims semoga bisa langganan dan harganya bisa terbaik terus se tokped,1,3
penjual ramah n fast respon...,Positive,Happy,penjual ramah n fast respon,1,2
GA DIKASIH ADAPTOR GEPENG NYA. KETIPU SAYA,Negative,Anger,ga dikasih adaptor gepeng nya ketipu saya,0,0
"packing rapi, barang sesuai deskripsi. mantep lah.",Positive,Happy,packing rapi barang sesuai deskripsi mantep lah,1,2
"Gokil! Harga murah, kualitas oke punya",Positive,Happy,gokil harga murah kualitas oke punya,1,2
sesuai deskripsi Aman buat kulit bayi. Melembabkan kulit bayi. Nggak memicu alergi. Nggak lengket.,Positive,Happy,sesuai deskripsi aman buat kulit bayi melembabkan kulit bayi nggak memicu alergi nggak lengket,1,2
TOP,Positive,Love,top,1,3
terimakasih,Positive,Happy,terimakasih,1,2
sesuai deskripsi,Positive,Happy,sesuai deskripsi,1,2
Desain ergonomis. Tekstur empuk. Bayi jadi tenang. Gampang dipakai,Positive,Happy,desain ergonomis tekstur empuk bayi jadi tenang gampang dipakai,1,2
debessss,Positive,Love,debessss,1,3
"Pengiriman cepat. Harganya murah. Kualitas oke. Masih diplastik. Ini saya foto setelah dikeluarin dari plastik pembungkusnya. Kainnya lembut dan berukuran kecil, jadi mudah dibawa ke mana-mana.",Positive,Happy,pengiriman cepat harganya murah kualitas oke masih diplastik ini saya foto setelah dikeluarin dari plastik pembungkusnya kainnya lembut dan berukuran kecil jadi mudah dibawa ke mana mana,1,2
bagus.. motif'a lucuu lucyuu... seller jg baik.. pengiriman jg kilat.. mksh banyak yah sis.. sukses trs,Positive,Love,bagus motif a lucuu lucyuu seller jg baik pengiriman jg kilat mksh banyak yah sis sukses trs,1,3
Produk Sesuai.,Positive,Happy,produk sesuai,1,2
"posisi kancing dan lubamg kancing tidak sejajar, jadi saat dikancing bajunya panjang sebelah dan bagian leher tidak rata",Negative,Sadness,posisi kancing dan lubamg kancing tidak sejajar jadi saat dikancing bajunya panjang sebelah dan bagian leher tidak rata,0,4
"mudah copot di dasbord,lemnya kgk kuat",Negative,Fear,mudah copot di dasbord lemnya kgk kuat,0,1
"Orderan yg ke 3 kali, selalu puas, unit bor nya mantap, seller ramah gercep, kurir cepat, next order lagi..",Positive,Love,orderan yg ke kali selalu puas unit bor nya mantap seller ramah gercep kurir cepat next order lagi,1,3
Sudah diterima dalam keadaan lengkap dan ada bonusnya juga. Terima kasih seller,Positive,Happy,sudah diterima dalam keadaan lengkap dan ada bonusnya juga terima kasih seller,1,2
sangat tipis.kecewa sekali.,Negative,Sadness,sangat tipis kecewa sekali,0,4
"raknya letoy bgt. kalo naro sepatu lebih dari 6 pasang takut roboh. kirain kuat, ternyata letoy bgt",Negative,Fear,raknya letoy bgt kalo naro sepatu lebih dari pasang takut roboh kirain kuat ternyata letoy bgt,0,1
hasilnya bagus dan sangat memuaskan terimakasih Tokopedia.??????,Positive,Happy,hasilnya bagus dan sangat memuaskan terimakasih tokopedia,1,2
jelek bgt nyesal jadi nya,Negative,Anger,jelek bgt nyesal jadi nya,0,0
ada 2 wrna yg salah jdi kecewa deh??,Negative,Sadness,ada wrna yg salah jdi kecewa deh,0,4
"amat sangat disayangkan, pelayanannya sangat buruk. Barang sdh seminggu lbh masih statusnya menunggu kurir pick up, pembungkusnya jg sangat tdk layak. pembalut wanita dibungkus dengan plastik transparan saja tanpa box? Sangat mengecewakan",Negative,Sadness,amat sangat disayangkan pelayanannya sangat buruk barang sdh seminggu lbh masih statusnya menunggu kurir pick up pembungkusnya jg sangat tdk layak pembalut wanita dibungkus dengan plastik transparan saja tanpa box sangat mengecewakan,0,4
Produk sesuai dengan foto.,Positive,Happy,produk sesuai dengan foto,1,2
"BARANG TIDAK DIKIRIM, DELI RAJA DRAMA DI ECOM SINI ATUPUN ORANYE. JANGAN LAGI BELI DISINI KALO MEREKA NGADAIN PROMO. SAAT COMPLAIN DAN MAU KEKURANGAN BARANG DIKIRIM PUN TIDAK DI ACC ALASAN STOK KOSONG. JADI DANA DIKEMBALIKAN SESUAI HARGA PROMO. KALO GA NIAT BIKIN PROMO TOLONG GA USAH BIKIN, KALO NAMA DELI JELEK KAN DELI SENDIRI YANG RUGI. BYE GA AKAN BELI DELI LAGI",Negative,Anger,barang tidak dikirim deli raja drama di ecom sini atupun oranye jangan lagi beli disini kalo mereka ngadain promo saat complain dan mau kekurangan barang dikirim pun tidak di acc alasan stok kosong jadi dana dikembalikan sesuai harga promo kalo ga niat bikin promo tolong ga usah bikin kalo nama deli jelek kan deli sendiri yang rugi bye ga akan beli deli lagi,0,0
kirim celananya ga sesuai ukuran,Negative,Sadness,kirim celananya ga sesuai ukuran,0,4
sangat kecewa...karrna keterNgannya 400 lembar...,Negative,Sadness,sangat kecewa karrna keterngannya lembar,0,4
"langganan bulanan, recommended????? i",Positive,Love,langganan bulanan recommended i,1,3
kualitas main amat buruk.,Negative,Anger,kualitas main amat buruk,0,0
"kecewa..!!!! orderan nya ga langsug di proses, pdhl sudah bayar pakai gosend instan!!!",Negative,Sadness,kecewa orderan nya ga langsug di proses pdhl sudah bayar pakai gosend instan,0,4
"kalo mau kirim baca note nya dong,...masa tiga2 nya dikirim warna sama,..trus fungsinya catatan buat apa",Negative,Anger,kalo mau kirim baca note nya dong masa tiga nya dikirim warna sama trus fungsinya catatan buat apa,0,0
Sangat puas sdh berkali2 belanja disini pelayanannya ramah dan pengiriman super rapih dan cepat,Positive,Happy,sangat puas sdh berkali belanja disini pelayanannya ramah dan pengiriman super rapih dan cepat,1,2
beda dengan iklannya,Negative,Fear,beda dengan iklannya,0,1
puas mantap luar biasa cepat sampai rekomendasi belanja disini,Positive,Happy,puas mantap luar biasa cepat sampai rekomendasi belanja disini,1,2
ahannya bagus. model juga unik. cakep. adminnya sangat ramah serta cepat responnya. terima kasih triple W official ??,Positive,Happy,ahannya bagus model juga unik cakep adminnya sangat ramah serta cepat responnya terima kasih triple w official,1,2
"over price dgn kualitas barang yg tidak kokoh dan melorot2 . Untuk seller ini saya review jujur ya jgn sembarangan bilang gak jujur! harga anda sama kualitas gak sesuai. Yg gak jujur adalah anda sendiri yg membujuk saya via chat merubah review dengan iming2 free gift, saya tolak krn itu membohongi diri saya sendiri. Berarti gak semua review itu asli mgkn sebagian bujukan seller untuk merubah review spy terlihat bagus pdhl mgkn kasusnya sama dengan saya kecewa dgn produk yg over price!",Negative,Anger,over price dgn kualitas barang yg tidak kokoh dan melorot untuk seller ini saya review jujur ya jgn sembarangan bilang gak jujur harga anda sama kualitas gak sesuai yg gak jujur adalah anda sendiri yg membujuk saya via chat merubah review dengan iming free gift saya tolak krn itu membohongi diri saya sendiri berarti gak semua review itu asli mgkn sebagian bujukan seller untuk merubah review spy terlihat bagus pdhl mgkn kasusnya sama dengan saya kecewa dgn produk yg over price,0,0
"TidAk jujur dan kelihatan kalau memaksakan barang terjual. Barang dikirim tidak sesuai pesanan. Dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",Negative,Anger,tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada,0,0
"barang sesuai keinginan, thx toko pedia.",Positive,Happy,barang sesuai keinginan thx toko pedia,1,2
banyak halaman terulang. malu saya pas kasih hadiah.,Negative,Sadness,banyak halaman terulang malu saya pas kasih hadiah,0,4
"Udah bbrp kali beli disini (di app ijo & oren), puas dgn barangnya. Hanya saja di pembelian terakhir ini, kecewa sih. Saya beli Oyster Cement, dengan asumsi warnanya abu muda seperti Dove Grey Cement, hanya saja lebih mulus teksturnya (sprti di katalog). Sudah saya cari referensi foto2 ulasan juga blm menemukan foto realnya. Jadi saya order saja. Ternyata pas datang, hasilnya jauh lebih kuning dari bayangan. Lalu saya bandingkan dengan Dove Grey Cement saya dari pembelian sebelumnya, tnyata beda banget (photo attached). Mgkn lain kali Seller kalo foto produknya, disetting dulu lighting/white balancenya supaya akurat & netral warnanya antar produk. Seller jg kurang komunikatif, sblmnya pernah minta foto produknya yg lebih jelas / zoom in, tidak diberikan. Bagi customer selanjutnya, pls note Oyster Cement sprti ini ya. Plus point: packing rapi & pengiriman cepat",Negative,Sadness,udah bbrp kali beli disini di app ijo oren puas dgn barangnya hanya saja di pembelian terakhir ini kecewa sih saya beli oyster cement dengan asumsi warnanya abu muda seperti dove grey cement hanya saja lebih mulus teksturnya sprti di katalog sudah saya cari referensi foto ulasan juga blm menemukan foto realnya jadi saya order saja ternyata pas datang hasilnya jauh lebih kuning dari bayangan lalu saya bandingkan dengan dove grey cement saya dari pembelian sebelumnya tnyata beda banget photo attached mgkn lain kali seller kalo foto produknya disetting dulu lighting white balancenya supaya akurat netral warnanya antar produk seller jg kurang komunikatif sblmnya pernah minta foto produknya yg lebih jelas zoom in tidak diberikan bagi customer selanjutnya pls note oyster cement sprti ini ya plus point packing rapi pengiriman cepat,0,4
"Pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !",Negative,Anger,pengiriman lama barang nya cacat tolong diperbaiki layanan nya,0,0
Kakinya gampang diatur. Berfungsi dengan baik. Kualitas sesuai harga.,Positive,Happy,kakinya gampang diatur berfungsi dengan baik kualitas sesuai harga,1,2
barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr,Positive,Love,barangnya buwaguusss sesuai pesanan angin nya kencang seperti angin puting beliung laptop ademmmm benerrr,1,3
ga sesuai foto .. dan bahan bukan kulit lembu BOHONG,Negative,Anger,ga sesuai foto dan bahan bukan kulit lembu bohong,0,0
"pengiriman cepat bangeett, packing aman, walo dapet flash sale tapi expired masih lama ????",Positive,Love,pengiriman cepat bangeett packing aman walo dapet flash sale tapi expired masih lama,1,3
Tidak mengkilap dan cepat hilang,Negative,Fear,tidak mengkilap dan cepat hilang,0,1
lubang hangtag tidak rapih,Negative,Sadness,lubang hangtag tidak rapih,0,4
"oke, barang ny lumayan sesuai dgn harga",Positive,Happy,oke barang ny lumayan sesuai dgn harga,1,2
mantaaaaaaaaaaap produk original... pokoknya recomended seller,Positive,Love,mantaaaaaaaaaaap produk original pokoknya recomended seller,1,3
kualitas barang bagus harga murah,Positive,Happy,kualitas barang bagus harga murah,1,2
"Ramah, pelayanan cepat, packaging rapih dan aman, pesanan pun sesuai dengan catatan. Terbaik, request pake kertas kado dan kartu ucapan pun free of charge. Belum pernah failed sih beli disini.",Positive,Happy,ramah pelayanan cepat packaging rapih dan aman pesanan pun sesuai dengan catatan terbaik request pake kertas kado dan kartu ucapan pun free of charge belum pernah failed sih beli disini,1,2
Kualitas bahan bagus ?? Nyaman dipakai ? Tidak menerawang,Positive,Happy,kualitas bahan bagus nyaman dipakai tidak menerawang,1,2
"produk sudah di Terima dgn baik, exp aman masih jauh. thx soho",Positive,Happy,produk sudah di terima dgn baik exp aman masih jauh thx soho,1,2
"low quality, harga nggak berbohong.",Negative,Anger,low quality harga nggak berbohong,0,0
1 BATERE DATANG RUSAK KATANYA MAU DI TELP DARI MARKETING SETELAH TUNGGU 2 MINGGU TIDAK ADA KELANJUTAN,Negative,Anger,batere datang rusak katanya mau di telp dari marketing setelah tunggu minggu tidak ada kelanjutan,0,0
Pesen putih yg sampai hitam. Giliran sy mau balikin boleh sih ditukar sm yg putih tapi ongkir mereka gak mau tanggung. Sama jg boong. Padahal jelas2 mereka blg kesalahan mmg pada mereka,Negative,Anger,pesen putih yg sampai hitam giliran sy mau balikin boleh sih ditukar sm yg putih tapi ongkir mereka gak mau tanggung sama jg boong padahal jelas mereka blg kesalahan mmg pada mereka,0,0
kecewa tdk spt yg diharapkan basah semua keluar airnya meskipun udah diputer mulai dr yg plg kecil maupun yg besarrr,Negative,Sadness,kecewa tdk spt yg diharapkan basah semua keluar airnya meskipun udah diputer mulai dr yg plg kecil maupun yg besarrr,0,4
mudah dipakainya,Positive,Happy,mudah dipakainya,1,2
"Selalu suka dengan sabun ini, enak dan segar� apagi dipakai setelah olahraga",Positive,Love,selalu suka dengan sabun ini enak dan segar apagi dipakai setelah olahraga,1,3
kualitas jelek. ngak mau pakai di smartphone,Negative,Fear,kualitas jelek ngak mau pakai di smartphone,0,1
"Barang sesuai ekpektasi, terimakasih",Positive,Happy,barang sesuai ekpektasi terimakasih,1,2
kurang bagus bahannya,Negative,Sadness,kurang bagus bahannya,0,4
"overpriced.. analisanya kurang dalam. kualitas hard cover kurang bagus, .masa begitu sampe lgsg penyok",Negative,Sadness,overpriced analisanya kurang dalam kualitas hard cover kurang bagus masa begitu sampe lgsg penyok,0,4
"good seller, ramah dan proses cepat",Positive,Happy,good seller ramah dan proses cepat,1,2
GK NYALAH PARAH,Negative,Anger,gk nyalah parah,0,0
Barang berfungsi baik semoga awet,Positive,Happy,barang berfungsi baik semoga awet,1,2
Ukurannya pas. Cepat menyerap. Tidak membuat lecet. Dapat bonus. Terima kasih yaa.,Positive,Happy,ukurannya pas cepat menyerap tidak membuat lecet dapat bonus terima kasih yaa,1,2
Nyaman di kulit. Kulit jadi glowing ?. Penjualnya ramah banget. Packaging simpel. Packaging aman ??.,Positive,Happy,nyaman di kulit kulit jadi glowing penjualnya ramah banget packaging simpel packaging aman,1,2
"Sumpah ini bagus, keren.. Packing rapi bgt, product aman.. Sdh di test berfungsi, cloud nya bnyk & ga basah, ga ada noise, filter dpt 2 pc.. Pake battery jd praktis ditaro dmn aja.. TOP, thanks seller..",Positive,Love,sumpah ini bagus keren packing rapi bgt product aman sdh di test berfungsi cloud nya bnyk ga basah ga ada noise filter dpt pc pake battery jd praktis ditaro dmn aja top thanks seller,1,3
"tidak sesuai dg yg saya mau, minta bam pengeras dikasih bam jagung???? tuh fotony kecewaaaaaaaaaa",Negative,Sadness,tidak sesuai dg yg saya mau minta bam pengeras dikasih bam jagung tuh fotony kecewaaaaaaaaaa,0,4
baru pake 2 bulan sensornya udah jelek suka kemana2,Negative,Sadness,baru pake bulan sensornya udah jelek suka kemana,0,4
"terima kasih kak, puas beli voucher tiket disini, recommended seller ??",Positive,Love,terima kasih kak puas beli voucher tiket disini recommended seller,1,3
"Awalnya bintang 5, setelah beberapa bulan pakai. Ternyata ada part yang hilang seperti baut",Negative,Sadness,awalnya bintang setelah beberapa bulan pakai ternyata ada part yang hilang seperti baut,0,4
sudah sampai tapi tutupnya pecah ????,Negative,Sadness,sudah sampai tapi tutupnya pecah,0,4
payahhh.. packing asal cm plastik dustnya manaaa?,Negative,Anger,payahhh packing asal cm plastik dustnya manaaa,0,0
